"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A9A0","2019-08-05 00:00:00","24.000","102.000","4.200","28.900","0.870","1000.600","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","28.400",""
"C0O830","2019-08-05 00:00:00","127.000","247.000","1.000","25.300","0.990","988.500","-99.000","13.000","-99.000","-99.000","-99.000","33.500","","24.300",""
"C0S760","2019-08-05 00:00:00","1621.000","10.000","1.700","18.700","1.000","834.500","-99.000","9.500","-99.000","-99.000","-99.000","23.900","","16.300",""
"C0X160","2019-08-05 00:00:00","26.000","96.000","0.600","28.200","0.900","999.300","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","26.200",""
"C0C490","2019-08-05 00:00:00","157.000","84.000","1.200","28.900","0.770","984.900","-99.000","8.500","-99.000","-99.000","-99.000","37.900","","27.200",""
"C0F970","2019-08-05 00:00:00","145.000","116.000","0.700","27.000","0.890","985.200","-99.000","29.500","-99.000","-99.000","-99.000","33.400","","25.800",""
"C0M690","2019-08-05 00:00:00","33.000","115.000","0.300","27.300","0.930","997.500","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.700",""
"C0V690","2019-08-05 00:00:00","30.000","325.000","1.800","29.300","0.860","999.200","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","27.200",""
"C0Z210","2019-08-05 00:00:00","126.000","0.000","0.100","25.100","0.990","991.600","-99.000","36.500","-99.000","-99.000","-99.000","33.700","","23.200",""
"C0U770","2019-08-05 00:00:00","5.000","312.000","2.700","26.300","0.950","1003.500","-99.000","2.500","-99.000","-99.000","-99.000","31.200","","25.000",""
"C0Z080","2019-08-05 00:00:00","298.000","0.000","0.000","24.600","0.950","971.600","-99.000","14.500","-99.000","-99.000","-99.000","36.300","","22.500",""
"C0G640","2019-08-05 00:00:00","17.000","149.000","0.900","29.300","0.810","1001.600","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","27.000",""
"C0X200","2019-08-05 00:00:00","61.000","63.000","0.900","25.900","0.990","995.300","-99.000","2.500","-99.000","-99.000","-99.000","32.200","","24.800",""
"C0U900","2019-08-05 00:00:00","63.000","336.000","0.800","26.600","0.990","998.200","-99.000","14.000","-99.000","-99.000","-99.000","32.000","","25.900",""
"C0Z230","2019-08-05 00:00:00","31.000","357.000","4.500","27.100","0.860","1001.500","-99.000","0.500","-99.000","-99.000","-99.000","30.300","","27.000",""
"C0S970","2019-08-05 00:00:00","19.000","342.000","1.200","27.200","0.900","1001.100","-99.000","6.000","-99.000","-99.000","-99.000","30.900","","25.500",""
"C0V260","2019-08-05 00:00:00","126.000","50.000","1.000","27.200","0.990","988.600","-99.000","0.000","-99.000","-99.000","-99.000","35.700","","24.900",""
"C0H990","2019-08-05 00:00:00","3076.000","0.000","0.200","10.400","0.970","703.700","-99.000","0.000","-99.000","-99.000","-99.000","21.000","","9.400",""
"C0F9K0","2019-08-05 00:00:00","30.000","0.000","0.100","29.800","0.790","997.000","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","27.500",""
"C0AH90","2019-08-05 00:00:00","660.000","0.000","0.000","23.600","0.990","934.200","-99.000","8.000","-99.000","-99.000","-99.000","27.900","","20.900",""
"C0W150","2019-08-05 00:00:00","42.000","57.000","2.600","29.700","0.790","999.400","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","27.300",""
"C0F000","2019-08-05 00:00:00","273.000","0.000","0.100","26.600","1.000","970.500","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.900",""
"C0K410","2019-08-05 00:00:00","20.000","158.000","1.500","27.900","0.920","998.800","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","26.200",""
"C0R140","2019-08-05 00:00:00","740.000","0.000","0.000","23.600","0.970","925.000","-99.000","0.000","-99.000","-99.000","-99.000","28.200","","21.400",""
"C0V800","2019-08-05 00:00:00","256.000","0.000","0.100","26.000","0.930","972.400","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","23.700",""
"C0S830","2019-08-05 00:00:00","288.000","327.000","1.500","24.500","0.990","973.300","-99.000","19.500","-99.000","-99.000","-99.000","32.600","","23.900",""
"C0S920","2019-08-05 00:00:00","98.000","328.000","0.300","26.000","0.960","988.000","-99.000","11.000","-99.000","-99.000","-99.000","32.400","","23.800",""
"C0V640","2019-08-05 00:00:00","35.000","98.000","1.000","28.700","0.910","998.000","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","26.200",""
"C0AH80","2019-08-05 00:00:00","68.000","75.000","2.000","26.900","0.920","995.500","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","25.100",""
"C0K250","2019-08-05 00:00:00","12.000","0.000","0.200","26.500","0.950","1000.700","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","25.400",""
"C0I410","2019-08-05 00:00:00","180.000","218.000","1.100","26.000","0.950","981.900","-99.000","1.000","-99.000","-99.000","-99.000","33.900","","24.700",""
"C0M410","2019-08-05 00:00:00","245.000","351.000","0.800","24.000","1.000","971.800","-99.000","43.000","-99.000","-99.000","-99.000","32.800","","23.500",""
"C0F9Z0","2019-08-05 00:00:00","3193.000","212.000","1.100","11.200","0.890","694.500","-99.000","0.000","-99.000","-99.000","-99.000","19.900","","9.400",""
"C0G810","2019-08-05 00:00:00","26.000","135.000","0.800","29.900","0.810","998.300","-99.000","0.000","-99.000","-99.000","-99.000","34.800","","27.900",""
"C0U650","2019-08-05 00:00:00","442.000","63.000","0.700","24.800","0.990","955.800","-99.000","2.000","-99.000","-99.000","-99.000","30.900","","23.400",""
"C0D660","2019-08-05 00:00:00","65.000","100.000","1.300","29.100","0.750","994.800","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","26.000",""
"C0E540","2019-08-05 00:00:00","32.000","202.000","1.100","28.200","0.900","998.600","-99.000","0.000","-99.000","-99.000","-99.000","36.000","","24.600",""
"C0W170","2019-08-05 00:00:00","42.000","42.000","3.900","27.500","0.910","999.000","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","26.700",""
"C0Z150","2019-08-05 00:00:00","27.000","228.000","1.500","27.000","0.960","1001.500","-99.000","9.500","-99.000","-99.000","-99.000","31.700","","25.100",""
"C0S840","2019-08-05 00:00:00","22.000","261.000","1.000","26.300","0.970","1002.600","-99.000","5.500","-99.000","-99.000","-99.000","32.100","","24.000",""
"C0H9A0","2019-08-05 00:00:00","1595.000","261.000","0.600","18.300","0.990","840.500","-99.000","0.000","-99.000","-99.000","-99.000","25.900","","16.000",""
"C0Z300","2019-08-05 00:00:00","182.000","62.000","1.000","25.200","0.990","985.500","-99.000","4.500","-99.000","-99.000","-99.000","33.600","","23.500",""
"C0G730","2019-08-05 00:00:00","27.000","185.000","1.000","28.600","0.940","999.700","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.800",""
"C0V730","2019-08-05 00:00:00","33.000","39.000","0.600","28.900","0.970","998.800","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","26.100",""
"C0SA00","2019-08-05 00:00:00","466.000","294.000","1.000","24.000","1.000","952.100","-99.000","3.500","-99.000","-99.000","-99.000","29.100","","21.400",""
"C0S900","2019-08-05 00:00:00","27.000","107.000","0.300","28.400","0.810","1000.900","-99.000","2.000","-99.000","-99.000","-99.000","31.400","","27.600",""
"C0C480","2019-08-05 00:00:00","105.000","114.000","1.600","29.300","0.730","990.700","-99.000","0.000","-99.000","-99.000","-99.000","37.600","","28.000",""
"C0V720","2019-08-05 00:00:00","15.000","94.000","0.500","29.900","0.870","1000.200","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","26.700",""
"C0UA60","2019-08-05 00:00:00","566.000","304.000","0.400","23.900","0.990","941.900","-99.000","3.500","-99.000","-99.000","-99.000","30.600","","22.700",""
"C0A980","2019-08-05 00:00:00","11.000","111.000","2.500","29.400","0.740","1002.200","-99.000","0.000","-99.000","-99.000","-99.000","35.400","","28.800",""
"C0C670","2019-08-05 00:00:00","250.000","55.000","2.500","27.400","0.770","974.900","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","24.800",""
